index,ID_SITE_RATTACHE,HOSPI_CODE_UCD,MONTH,QUANTITY,N_UFS,DATE,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD,TREND,SEASONAL,RESID
43,HOSPI_4,3400892508566,1,6750.0,1.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,1102.7604166666665,0.0
46,HOSPI_3,3400892669236,1,11014.0,13.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,722.4415509259256,0.0
47,HOSPI_4,3400892669236,1,19620.0,2.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,2815.7592592592605,0.0
48,HOSPI_1,3400892697789,1,750.0,2.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,193.9456018518519,0.0
50,HOSPI_3,3400892697789,1,2750.0,3.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,232.21643518518536,0.0
51,HOSPI_4,3400892697789,1,6810.0,1.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,1880.625,0.0
52,HOSPI_1,3400892729589,1,4910.0,6.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,195.08043981481472,0.0
54,HOSPI_3,3400892729589,1,4850.0,7.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,447.67939814814815,0.0
55,HOSPI_4,3400892729589,1,15480.0,2.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-3175.6423611111113,0.0
56,HOSPI_1,3400892745848,1,8800.0,9.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,598.1388888888889,0.0
58,HOSPI_3,3400892745848,1,550.0,1.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,46.724537037037,0.0
59,HOSPI_4,3400892745848,1,13740.0,2.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,4849.607638888889,0.0
60,HOSPI_1,3400892761527,1,4785.0,3.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,1078.8061342592591,0.0
62,HOSPI_3,3400892761527,1,29450.0,20.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,644.4658564814806,0.0
63,HOSPI_4,3400892761527,1,4900.0,1.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,315.53819444444525,0.0
64,HOSPI_1,3400892761695,1,1270.0,2.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-14.476851851851848,0.0
66,HOSPI_3,3400892761695,1,24965.0,13.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,1036.583333333335,0.0
67,HOSPI_4,3400892761695,1,12380.0,1.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,867.8877314814812,0.0
68,HOSPI_1,3400893022634,1,2193.0,6.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,125.25810185185182,0.0
