CODE_ATC,DATE,HOSPI_CODE_UCD,ID_SITE_RATTACHE,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,WEEK,YEAR,CLUSTER
8,2017-03-01,3400892075761,HOSPI_2,1694.0,327.0,3,3.0,6330.0,858668.0,1061.0,50.0,25.0,99125.0,1015.0,0.0,1190.0,9,2017,0
8,2017-03-01,3400892075761,HOSPI_3,1694.0,327.0,3,5.0,6330.0,858668.0,1061.0,60.0,36.66666666666666,99125.0,1015.0,120.0,1190.0,9,2017,0
8,2017-03-01,3400892075761,HOSPI_4,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,600.0,236.66666666666663,99125.0,1015.0,285.0,1190.0,9,2017,0
9,2017-03-01,3400892088310,HOSPI_1,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,0
9,2017-03-01,3400892088310,HOSPI_2,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,30.0,15.0,99125.0,1015.0,0.0,1190.0,9,2017,0
9,2017-03-01,3400892088310,HOSPI_3,1694.0,327.0,3,6.0,6330.0,858668.0,1061.0,612.0,214.0,99125.0,1015.0,120.0,1190.0,9,2017,0
9,2017-03-01,3400892088310,HOSPI_4,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,0.0,214.0,99125.0,1015.0,285.0,1190.0,9,2017,0
10,2017-03-01,3400892203645,HOSPI_1,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,0
10,2017-03-01,3400892203645,HOSPI_2,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,115.0,57.5,99125.0,1015.0,0.0,1190.0,9,2017,0
10,2017-03-01,3400892203645,HOSPI_3,1694.0,327.0,3,6.0,6330.0,858668.0,1061.0,340.0,151.66666666666666,99125.0,1015.0,120.0,1190.0,9,2017,0
10,2017-03-01,3400892203645,HOSPI_4,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,300.0,251.66666666666663,99125.0,1015.0,285.0,1190.0,9,2017,0
11,2017-03-01,3400892508566,HOSPI_1,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,3
11,2017-03-01,3400892508566,HOSPI_2,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,0.0,1190.0,9,2017,3
11,2017-03-01,3400892508566,HOSPI_3,1694.0,327.0,3,3.0,6330.0,858668.0,1061.0,390.0,130.0,99125.0,1015.0,120.0,1190.0,9,2017,3
11,2017-03-01,3400892508566,HOSPI_4,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,750.0,380.0,99125.0,1015.0,285.0,1190.0,9,2017,3
12,2017-03-01,3400892669236,HOSPI_1,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,9773.5,9773.5,99125.0,1015.0,122.0,1190.0,9,2017,3
12,2017-03-01,3400892669236,HOSPI_2,1694.0,327.0,3,3.0,6330.0,858668.0,1061.0,9773.5,9773.5,99125.0,1015.0,0.0,1190.0,9,2017,3
12,2017-03-01,3400892669236,HOSPI_3,1694.0,327.0,3,11.0,6330.0,858668.0,1061.0,9773.5,9773.5,99125.0,1015.0,120.0,1190.0,9,2017,3
12,2017-03-01,3400892669236,HOSPI_4,1694.0,327.0,3,3.0,6330.0,858668.0,1061.0,4410.0,7985.666666666667,99125.0,1015.0,285.0,1190.0,9,2017,3
13,2017-03-01,3400892697789,HOSPI_1,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,3
13,2017-03-01,3400892697789,HOSPI_2,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,10.0,5.0,99125.0,1015.0,0.0,1190.0,9,2017,3
13,2017-03-01,3400892697789,HOSPI_3,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,90.0,33.333333333333336,99125.0,1015.0,120.0,1190.0,9,2017,3
13,2017-03-01,3400892697789,HOSPI_4,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,1530.0,543.3333333333334,99125.0,1015.0,285.0,1190.0,9,2017,3
6,2017-03-01,3400892729589,HOSPI_1,1694.0,327.0,3,4.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,3
6,2017-03-01,3400892729589,HOSPI_2,1694.0,327.0,3,7.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,0.0,1190.0,9,2017,3
6,2017-03-01,3400892729589,HOSPI_3,1694.0,327.0,3,3.0,6330.0,858668.0,1061.0,530.0,176.66666666666666,99125.0,1015.0,120.0,1190.0,9,2017,3
6,2017-03-01,3400892729589,HOSPI_4,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,0.0,176.66666666666666,99125.0,1015.0,285.0,1190.0,9,2017,3
14,2017-03-01,3400892745848,HOSPI_1,1694.0,327.0,3,8.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,3
14,2017-03-01,3400892745848,HOSPI_2,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,20.0,10.0,99125.0,1015.0,0.0,1190.0,9,2017,3
14,2017-03-01,3400892745848,HOSPI_3,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,30.0,16.666666666666668,99125.0,1015.0,120.0,1190.0,9,2017,3
14,2017-03-01,3400892745848,HOSPI_4,1694.0,327.0,3,3.0,6330.0,858668.0,1061.0,1860.0,636.6666666666666,99125.0,1015.0,285.0,1190.0,9,2017,3
15,2017-03-01,3400892761527,HOSPI_1,1694.0,327.0,3,7.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,3
15,2017-03-01,3400892761527,HOSPI_2,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,30.0,15.0,99125.0,1015.0,0.0,1190.0,9,2017,3
15,2017-03-01,3400892761527,HOSPI_3,1694.0,327.0,3,25.0,6330.0,858668.0,1061.0,3680.0,1236.6666666666667,99125.0,1015.0,120.0,1190.0,9,2017,3
15,2017-03-01,3400892761527,HOSPI_4,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,550.0,1420.0,99125.0,1015.0,285.0,1190.0,9,2017,3
15,2017-03-01,3400892761695,HOSPI_1,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,3
15,2017-03-01,3400892761695,HOSPI_2,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,30.0,15.0,99125.0,1015.0,0.0,1190.0,9,2017,3
15,2017-03-01,3400892761695,HOSPI_3,1694.0,327.0,3,10.0,6330.0,858668.0,1061.0,2680.0,903.3333333333334,99125.0,1015.0,120.0,1190.0,9,2017,3
15,2017-03-01,3400892761695,HOSPI_4,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,260.0,990.0,99125.0,1015.0,285.0,1190.0,9,2017,3
16,2017-03-01,3400893022634,HOSPI_1,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,3
16,2017-03-01,3400893022634,HOSPI_2,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,90.0,45.0,99125.0,1015.0,0.0,1190.0,9,2017,3
16,2017-03-01,3400893022634,HOSPI_3,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,600.0,230.0,99125.0,1015.0,120.0,1190.0,9,2017,3
16,2017-03-01,3400893022634,HOSPI_4,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,0.0,230.0,99125.0,1015.0,209.0,1190.0,9,2017,3
17,2017-03-01,3400893736135,HOSPI_1,1694.0,327.0,3,3.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,1
17,2017-03-01,3400893736135,HOSPI_2,1694.0,327.0,3,6.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,0.0,1190.0,9,2017,1
17,2017-03-01,3400893736135,HOSPI_3,1694.0,327.0,3,6.0,6330.0,858668.0,1061.0,380.0,126.66666666666669,99125.0,1015.0,120.0,1190.0,9,2017,1
17,2017-03-01,3400893736135,HOSPI_4,1694.0,327.0,3,1.0,6330.0,858668.0,1061.0,660.0,346.6666666666667,99125.0,1015.0,285.0,1190.0,9,2017,1
18,2017-03-01,3400893826706,HOSPI_1,1694.0,327.0,3,5.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,1
18,2017-03-01,3400893826706,HOSPI_2,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,37.0,18.5,99125.0,1015.0,0.0,1190.0,9,2017,1
18,2017-03-01,3400893826706,HOSPI_3,1694.0,327.0,3,7.0,6330.0,858668.0,1061.0,510.0,182.33333333333331,99125.0,1015.0,120.0,1190.0,9,2017,1
18,2017-03-01,3400893826706,HOSPI_4,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,0.0,182.33333333333331,99125.0,1015.0,285.0,1190.0,9,2017,1
5,2017-03-01,3400893875490,HOSPI_1,1694.0,327.0,3,13.0,6330.0,858668.0,1061.0,0.0,0.0,99125.0,1015.0,122.0,1190.0,9,2017,1
5,2017-03-01,3400893875490,HOSPI_2,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,70.0,35.0,99125.0,1015.0,0.0,1190.0,9,2017,1
5,2017-03-01,3400893875490,HOSPI_3,1694.0,327.0,3,14.0,6330.0,858668.0,1061.0,1392.0,487.3333333333333,99125.0,1015.0,120.0,1190.0,9,2017,1
5,2017-03-01,3400893875490,HOSPI_4,1694.0,327.0,3,2.0,6330.0,858668.0,1061.0,300.0,587.3333333333334,99125.0,1015.0,285.0,1190.0,9,2017,1
1,2017-04-01,3400890837149,HOSPI_1,1694.0,327.0,4,8.0,6330.0,858668.0,1061.0,0.0,1296.6666666666667,99125.0,1015.0,122.0,1190.0,13,2017,2
1,2017-04-01,3400890837149,HOSPI_2,1694.0,327.0,4,5.0,6330.0,858668.0,1061.0,1860.0,1753.3333333333333,99125.0,1015.0,0.0,1190.0,13,2017,2
1,2017-04-01,3400890837149,HOSPI_3,1694.0,327.0,4,5.0,6330.0,858668.0,1061.0,4020.0,1960.0,99125.0,1015.0,120.0,1190.0,13,2017,2
1,2017-04-01,3400890837149,HOSPI_4,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,3301.0,3060.333333333333,99125.0,1015.0,285.0,1190.0,13,2017,2
2,2017-04-01,3400891191226,HOSPI_1,1694.0,327.0,4,3.0,6330.0,858668.0,1061.0,0.0,330.0,99125.0,1015.0,122.0,1190.0,13,2017,2
2,2017-04-01,3400891191226,HOSPI_2,1694.0,327.0,4,6.5,6330.0,858668.0,1061.0,2600.0,1060.0,99125.0,1015.0,0.0,1190.0,13,2017,2
2,2017-04-01,3400891191226,HOSPI_3,1694.0,327.0,4,13.0,6330.0,858668.0,1061.0,6230.0,2943.333333333333,99125.0,1015.0,120.0,1190.0,13,2017,2
2,2017-04-01,3400891191226,HOSPI_4,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,8620.0,5816.666666666667,99125.0,1015.0,285.0,1190.0,13,2017,2
3,2017-04-01,3400891225037,HOSPI_1,1694.0,327.0,4,10.0,6330.0,858668.0,1061.0,0.0,973.3333333333334,99125.0,1015.0,122.0,1190.0,13,2017,2
3,2017-04-01,3400891225037,HOSPI_2,1694.0,327.0,4,13.0,6330.0,858668.0,1061.0,13320.0,4773.333333333333,99125.0,1015.0,0.0,1190.0,13,2017,2
3,2017-04-01,3400891225037,HOSPI_3,1694.0,327.0,4,10.0,6330.0,858668.0,1061.0,8340.0,7220.0,99125.0,1015.0,120.0,1190.0,13,2017,2
3,2017-04-01,3400891225037,HOSPI_4,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,24360.0,15340.0,99125.0,1015.0,285.0,1190.0,13,2017,2
4,2017-04-01,3400891235203,HOSPI_1,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,0.0,140.0,99125.0,1015.0,122.0,1190.0,13,2017,2
4,2017-04-01,3400891235203,HOSPI_2,1694.0,327.0,4,6.0,6330.0,858668.0,1061.0,1463.0,487.6666666666667,99125.0,1015.0,0.0,1190.0,13,2017,2
4,2017-04-01,3400891235203,HOSPI_3,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,1710.0,1057.6666666666667,99125.0,1015.0,120.0,1190.0,13,2017,2
4,2017-04-01,3400891235203,HOSPI_4,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,1400.0,1524.3333333333333,99125.0,1015.0,285.0,1190.0,13,2017,2
5,2017-04-01,3400891996128,HOSPI_1,1694.0,327.0,4,18.0,6330.0,858668.0,1061.0,0.0,10163.333333333334,99125.0,1015.0,122.0,1190.0,13,2017,0
5,2017-04-01,3400891996128,HOSPI_2,1694.0,327.0,4,26.0,6330.0,858668.0,1061.0,62390.0,26796.666666666668,99125.0,1015.0,0.0,1190.0,13,2017,0
5,2017-04-01,3400891996128,HOSPI_3,1694.0,327.0,4,32.0,6330.0,858668.0,1061.0,94100.0,52163.333333333336,99125.0,1015.0,120.0,1190.0,13,2017,0
5,2017-04-01,3400891996128,HOSPI_4,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,84525.0,80338.33333333333,99125.0,1015.0,285.0,1190.0,13,2017,0
6,2017-04-01,3400892052120,HOSPI_1,1694.0,327.0,4,3.0,6330.0,858668.0,1061.0,0.0,343.3333333333333,99125.0,1015.0,122.0,1190.0,13,2017,0
6,2017-04-01,3400892052120,HOSPI_2,1694.0,327.0,4,4.0,6330.0,858668.0,1061.0,1390.0,793.3333333333334,99125.0,1015.0,0.0,1190.0,13,2017,0
6,2017-04-01,3400892052120,HOSPI_3,1694.0,327.0,4,3.0,6330.0,858668.0,1061.0,1700.0,1030.0,99125.0,1015.0,120.0,1190.0,13,2017,0
6,2017-04-01,3400892052120,HOSPI_4,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,1865.0,1651.6666666666667,99125.0,1015.0,285.0,1190.0,13,2017,0
7,2017-04-01,3400892065366,HOSPI_1,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,0.0,1686.6666666666667,99125.0,1015.0,122.0,1190.0,13,2017,0
7,2017-04-01,3400892065366,HOSPI_2,1694.0,327.0,4,10.0,6330.0,858668.0,1061.0,4748.0,2902.6666666666665,99125.0,1015.0,0.0,1190.0,13,2017,0
7,2017-04-01,3400892065366,HOSPI_3,1694.0,327.0,4,10.5,6330.0,858668.0,1061.0,6910.0,3886.0,99125.0,1015.0,120.0,1190.0,13,2017,0
7,2017-04-01,3400892065366,HOSPI_4,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,7333.5,6330.5,99125.0,1015.0,285.0,1190.0,13,2017,0
8,2017-04-01,3400892075761,HOSPI_1,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,0.0,220.0,99125.0,1015.0,122.0,1190.0,13,2017,0
8,2017-04-01,3400892075761,HOSPI_2,1694.0,327.0,4,6.5,6330.0,858668.0,1061.0,2550.0,1050.0,99125.0,1015.0,0.0,1190.0,13,2017,0
8,2017-04-01,3400892075761,HOSPI_3,1694.0,327.0,4,6.5,6330.0,858668.0,1061.0,2390.0,1646.6666666666667,99125.0,1015.0,120.0,1190.0,13,2017,0
8,2017-04-01,3400892075761,HOSPI_4,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,2320.0,2420.0,99125.0,1015.0,285.0,1190.0,13,2017,0
9,2017-04-01,3400892088310,HOSPI_1,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,0.0,204.0,99125.0,1015.0,122.0,1190.0,13,2017,0
9,2017-04-01,3400892088310,HOSPI_2,1694.0,327.0,4,9.0,6330.0,858668.0,1061.0,3096.0,1032.0,99125.0,1015.0,0.0,1190.0,13,2017,0
9,2017-04-01,3400892088310,HOSPI_3,1694.0,327.0,4,6.0,6330.0,858668.0,1061.0,4836.0,2644.0,99125.0,1015.0,120.0,1190.0,13,2017,0
9,2017-04-01,3400892088310,HOSPI_4,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,0.0,2644.0,99125.0,1015.0,285.0,1190.0,13,2017,0
10,2017-04-01,3400892203645,HOSPI_1,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,0.0,213.33333333333331,99125.0,1015.0,122.0,1190.0,13,2017,0
10,2017-04-01,3400892203645,HOSPI_2,1694.0,327.0,4,6.0,6330.0,858668.0,1061.0,3250.0,1183.3333333333333,99125.0,1015.0,0.0,1190.0,13,2017,0
10,2017-04-01,3400892203645,HOSPI_3,1694.0,327.0,4,8.5,6330.0,858668.0,1061.0,5675.0,2975.0,99125.0,1015.0,120.0,1190.0,13,2017,0
10,2017-04-01,3400892203645,HOSPI_4,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,9750.0,6225.0,99125.0,1015.0,285.0,1190.0,13,2017,0
11,2017-04-01,3400892508566,HOSPI_1,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,0.0,380.0,99125.0,1015.0,122.0,1190.0,13,2017,3
11,2017-04-01,3400892508566,HOSPI_2,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,0.0,250.0,99125.0,1015.0,0.0,1190.0,13,2017,3
