CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_SLD,SEJ_SSR,WEEK,YEAR
17,2017-04-01,3400892669236,1360.0,106.0,4,1.0,5303.0,572443.0,806.0,0.0,0.0,80667.0,122.0,1239.0,13,2017
12,2017-04-01,3400893875490,1360.0,106.0,4,13.0,5303.0,572443.0,806.0,9103.0,9103.0,80667.0,122.0,1239.0,13,2017
16,2017-04-01,3400891191226,1360.0,106.0,4,3.0,5303.0,572443.0,806.0,2590.0,2590.0,80667.0,122.0,1239.0,13,2017
13,2017-04-01,3400892065366,1360.0,106.0,4,2.0,5303.0,572443.0,806.0,4645.0,4645.0,80667.0,122.0,1239.0,13,2017
10,2017-04-01,3400891235203,1360.0,106.0,4,2.0,5303.0,572443.0,806.0,0.0,0.0,80667.0,122.0,1239.0,13,2017
18,2017-04-01,3400892508566,1360.0,106.0,4,1.0,5303.0,572443.0,806.0,3110.0,3110.0,80667.0,122.0,1239.0,13,2017
6,2017-05-01,3400892745848,1360.0,106.0,5,8.0,5303.0,572443.0,806.0,6550.0,6550.0,80667.0,122.0,1239.0,18,2017
7,2017-05-01,3400893736135,1360.0,106.0,5,3.0,5303.0,572443.0,806.0,1960.0,1960.0,80667.0,122.0,1239.0,18,2017
12,2017-05-01,3400891996128,1360.0,106.0,5,18.0,5303.0,572443.0,806.0,55480.0,55480.0,80667.0,122.0,1239.0,18,2017
10,2017-05-01,3400891235203,1360.0,106.0,5,2.0,5303.0,572443.0,806.0,0.0,0.0,80667.0,122.0,1239.0,18,2017
5,2017-05-01,3400892075761,1360.0,106.0,5,2.0,5303.0,572443.0,806.0,1280.0,1280.0,80667.0,122.0,1239.0,18,2017
14,2017-05-01,3400892761695,1360.0,106.0,5,1.0,5303.0,572443.0,806.0,1604.0,1604.0,80667.0,122.0,1239.0,18,2017
14,2017-05-01,3400892761527,1360.0,106.0,5,7.0,5303.0,572443.0,806.0,4757.0,4757.0,80667.0,122.0,1239.0,18,2017
15,2017-05-01,3400893022634,1360.0,106.0,5,1.0,5303.0,572443.0,806.0,3160.0,3160.0,80667.0,122.0,1239.0,18,2017
13,2017-05-01,3400892065366,1360.0,106.0,5,2.0,5303.0,572443.0,806.0,4645.0,4645.0,80667.0,122.0,1239.0,18,2017
3,2017-05-01,3400892052120,1360.0,106.0,5,3.0,5303.0,572443.0,806.0,2770.0,2770.0,80667.0,122.0,1239.0,18,2017
3,2017-05-01,3400892729589,1360.0,106.0,5,4.0,5303.0,572443.0,806.0,4150.0,4150.0,80667.0,122.0,1239.0,18,2017
17,2017-05-01,3400892669236,1360.0,106.0,5,1.0,5303.0,572443.0,806.0,0.0,0.0,80667.0,122.0,1239.0,18,2017
2,2017-05-01,3400893826706,1360.0,106.0,5,5.0,5303.0,572443.0,806.0,3240.0,3240.0,80667.0,122.0,1239.0,18,2017
12,2017-05-01,3400893875490,1360.0,106.0,5,13.0,5303.0,572443.0,806.0,9103.0,9103.0,80667.0,122.0,1239.0,18,2017
1,2017-05-01,3400890837149,1360.0,106.0,5,8.0,5303.0,572443.0,806.0,2760.0,2760.0,80667.0,122.0,1239.0,18,2017
16,2017-05-01,3400891191226,1360.0,106.0,5,3.0,5303.0,572443.0,806.0,2590.0,2590.0,80667.0,122.0,1239.0,18,2017
8,2017-05-01,3400892697789,1360.0,106.0,5,2.0,5303.0,572443.0,806.0,990.0,990.0,80667.0,122.0,1239.0,18,2017
11,2017-05-01,3400891225037,1360.0,106.0,5,10.0,5303.0,572443.0,806.0,15610.0,15610.0,80667.0,122.0,1239.0,18,2017
9,2017-05-01,3400892203645,1360.0,106.0,5,1.0,5303.0,572443.0,806.0,1272.0,1272.0,80667.0,122.0,1239.0,18,2017
18,2017-05-01,3400892508566,1360.0,106.0,5,1.0,5303.0,572443.0,806.0,3110.0,3110.0,80667.0,122.0,1239.0,18,2017
4,2017-05-01,3400892088310,1360.0,106.0,5,1.0,5303.0,572443.0,806.0,2220.0,2220.0,80667.0,122.0,1239.0,18,2017
8,2017-06-01,3400892697789,1360.0,106.0,6,2.0,5303.0,572443.0,806.0,740.0,906.6666666666666,80667.0,122.0,1239.0,22,2017
17,2017-06-01,3400892669236,1360.0,106.0,6,1.0,5303.0,572443.0,806.0,0.0,0.0,80667.0,122.0,1239.0,22,2017
11,2017-06-01,3400891225037,1360.0,106.0,6,10.0,5303.0,572443.0,806.0,15610.0,15610.0,80667.0,122.0,1239.0,22,2017
10,2017-06-01,3400891235203,1360.0,106.0,6,2.5,5303.0,572443.0,806.0,680.0,226.66666666666666,80667.0,122.0,1239.0,22,2017
15,2017-06-01,3400893022634,1360.0,106.0,6,2.5,5303.0,572443.0,806.0,2210.0,2843.3333333333335,80667.0,122.0,1239.0,22,2017
13,2017-06-01,3400892065366,1360.0,106.0,6,2.0,5303.0,572443.0,806.0,4645.0,4645.0,80667.0,122.0,1239.0,22,2017
12,2017-06-01,3400893875490,1360.0,106.0,6,13.0,5303.0,572443.0,806.0,9103.0,9103.0,80667.0,122.0,1239.0,22,2017
16,2017-06-01,3400891191226,1360.0,106.0,6,3.0,5303.0,572443.0,806.0,2200.0,2460.0,80667.0,122.0,1239.0,22,2017
6,2017-06-01,3400892745848,1360.0,106.0,6,8.0,5303.0,572443.0,806.0,4200.0,5766.666666666667,80667.0,122.0,1239.0,22,2017
7,2017-06-01,3400893736135,1360.0,106.0,6,3.0,5303.0,572443.0,806.0,1335.0,1751.6666666666667,80667.0,122.0,1239.0,22,2017
12,2017-06-01,3400891996128,1360.0,106.0,6,18.0,5303.0,572443.0,806.0,55480.0,55480.0,80667.0,122.0,1239.0,22,2017
14,2017-06-01,3400892761695,1360.0,106.0,6,1.0,5303.0,572443.0,806.0,1330.0,1512.6666666666667,80667.0,122.0,1239.0,22,2017
2,2017-06-01,3400893826706,1360.0,106.0,6,5.0,5303.0,572443.0,806.0,1815.0,2765.0,80667.0,122.0,1239.0,22,2017
3,2017-06-01,3400892729589,1360.0,106.0,6,4.0,5303.0,572443.0,806.0,2410.0,3570.0,80667.0,122.0,1239.0,22,2017
1,2017-06-01,3400890837149,1360.0,106.0,6,6.5,5303.0,572443.0,806.0,2760.0,2760.0,80667.0,122.0,1239.0,22,2017
14,2017-06-01,3400892761527,1360.0,106.0,6,7.0,5303.0,572443.0,806.0,3170.0,4228.0,80667.0,122.0,1239.0,22,2017
18,2017-06-01,3400892508566,1360.0,106.0,6,2.0,5303.0,572443.0,806.0,1802.0,2674.0,80667.0,122.0,1239.0,22,2017
9,2017-06-01,3400892203645,1360.0,106.0,6,1.0,5303.0,572443.0,806.0,1272.0,1272.0,80667.0,122.0,1239.0,22,2017
5,2017-06-01,3400892075761,1360.0,106.0,6,2.0,5303.0,572443.0,806.0,890.0,1150.0,80667.0,122.0,1239.0,22,2017
3,2017-06-01,3400892052120,1360.0,106.0,6,3.0,5303.0,572443.0,806.0,1600.0,2380.0,80667.0,122.0,1239.0,22,2017
4,2017-06-01,3400892088310,1360.0,106.0,6,1.0,5303.0,572443.0,806.0,2220.0,2220.0,80667.0,122.0,1239.0,22,2017
15,2017-07-01,3400893022634,1360.0,106.0,7,6.0,5303.0,572443.0,806.0,3487.0,2952.3333333333335,80667.0,122.0,1239.0,26,2017
14,2017-07-01,3400892761527,1360.0,106.0,7,4.0,5303.0,572443.0,806.0,4847.0,4258.0,80667.0,122.0,1239.0,26,2017
1,2017-07-01,3400890837149,1360.0,106.0,7,4.0,5303.0,572443.0,806.0,2790.0,2770.0,80667.0,122.0,1239.0,26,2017
3,2017-07-01,3400892052120,1360.0,106.0,7,4.0,5303.0,572443.0,806.0,2780.0,2383.3333333333335,80667.0,122.0,1239.0,26,2017
12,2017-07-01,3400891996128,1360.0,106.0,7,21.0,5303.0,572443.0,806.0,59070.0,56676.666666666664,80667.0,122.0,1239.0,26,2017
17,2017-07-01,3400892669236,1360.0,106.0,7,1.0,5303.0,572443.0,806.0,0.0,0.0,80667.0,122.0,1239.0,26,2017
18,2017-07-01,3400892508566,1360.0,106.0,7,4.0,5303.0,572443.0,806.0,3097.0,2669.6666666666665,80667.0,122.0,1239.0,26,2017
13,2017-07-01,3400892065366,1360.0,106.0,7,7.0,5303.0,572443.0,806.0,4645.0,4645.0,80667.0,122.0,1239.0,26,2017
12,2017-07-01,3400893875490,1360.0,106.0,7,13.0,5303.0,572443.0,806.0,9133.0,9113.0,80667.0,122.0,1239.0,26,2017
11,2017-07-01,3400891225037,1360.0,106.0,7,11.0,5303.0,572443.0,806.0,16972.0,16064.0,80667.0,122.0,1239.0,26,2017
14,2017-07-01,3400892761695,1360.0,106.0,7,3.0,5303.0,572443.0,806.0,1555.0,1496.3333333333333,80667.0,122.0,1239.0,26,2017
3,2017-07-01,3400892729589,1360.0,106.0,7,7.0,5303.0,572443.0,806.0,4540.0,3700.0,80667.0,122.0,1239.0,26,2017
6,2017-07-01,3400892745848,1360.0,106.0,7,5.0,5303.0,572443.0,806.0,5736.0,5495.333333333333,80667.0,122.0,1239.0,26,2017
10,2017-07-01,3400891235203,1360.0,106.0,7,4.0,5303.0,572443.0,806.0,1680.0,786.6666666666666,80667.0,122.0,1239.0,26,2017
16,2017-07-01,3400891191226,1360.0,106.0,7,8.0,5303.0,572443.0,806.0,2880.0,2556.6666666666665,80667.0,122.0,1239.0,26,2017
8,2017-07-01,3400892697789,1360.0,106.0,7,2.0,5303.0,572443.0,806.0,930.0,886.6666666666666,80667.0,122.0,1239.0,26,2017
7,2017-07-01,3400893736135,1360.0,106.0,7,5.0,5303.0,572443.0,806.0,2370.0,1888.3333333333333,80667.0,122.0,1239.0,26,2017
9,2017-07-01,3400892203645,1360.0,106.0,7,3.0,5303.0,572443.0,806.0,1250.0,1264.6666666666667,80667.0,122.0,1239.0,26,2017
4,2017-07-01,3400892088310,1360.0,106.0,7,4.0,5303.0,572443.0,806.0,2202.0,2214.0,80667.0,122.0,1239.0,26,2017
2,2017-07-01,3400893826706,1360.0,106.0,7,4.0,5303.0,572443.0,806.0,3890.0,2981.6666666666665,80667.0,122.0,1239.0,26,2017
5,2017-07-01,3400892075761,1360.0,106.0,7,4.0,5303.0,572443.0,806.0,1260.0,1143.3333333333333,80667.0,122.0,1239.0,26,2017
3,2017-08-01,3400892729589,1360.0,106.0,8,6.0,5303.0,572443.0,806.0,4085.0,3678.3333333333335,80667.0,122.0,1239.0,31,2017
18,2017-08-01,3400892508566,1360.0,106.0,8,2.0,5303.0,572443.0,806.0,3795.0,2898.0,80667.0,122.0,1239.0,31,2017
5,2017-08-01,3400892075761,1360.0,106.0,8,2.0,5303.0,572443.0,806.0,1110.0,1086.6666666666667,80667.0,122.0,1239.0,31,2017
8,2017-08-01,3400892697789,1360.0,106.0,8,2.0,5303.0,572443.0,806.0,1150.0,940.0,80667.0,122.0,1239.0,31,2017
17,2017-08-01,3400892669236,1360.0,106.0,8,1.0,5303.0,572443.0,806.0,0.0,0.0,80667.0,122.0,1239.0,31,2017
9,2017-08-01,3400892203645,1360.0,106.0,8,3.0,5303.0,572443.0,806.0,1500.0,1340.6666666666667,80667.0,122.0,1239.0,31,2017
6,2017-08-01,3400892745848,1360.0,106.0,8,7.0,5303.0,572443.0,806.0,5852.0,5262.666666666667,80667.0,122.0,1239.0,31,2017
14,2017-08-01,3400892761527,1360.0,106.0,8,5.0,5303.0,572443.0,806.0,4757.0,4258.0,80667.0,122.0,1239.0,31,2017
13,2017-08-01,3400892065366,1360.0,106.0,8,5.0,5303.0,572443.0,806.0,5090.0,4793.333333333333,80667.0,122.0,1239.0,31,2017
4,2017-08-01,3400892088310,1360.0,106.0,8,3.0,5303.0,572443.0,806.0,1968.0,2130.0,80667.0,122.0,1239.0,31,2017
14,2017-08-01,3400892761695,1360.0,106.0,8,2.0,5303.0,572443.0,806.0,1590.0,1491.6666666666667,80667.0,122.0,1239.0,31,2017
3,2017-08-01,3400892052120,1360.0,106.0,8,5.0,5303.0,572443.0,806.0,2930.0,2436.6666666666665,80667.0,122.0,1239.0,31,2017
16,2017-08-01,3400891191226,1360.0,106.0,8,7.0,5303.0,572443.0,806.0,2300.0,2460.0,80667.0,122.0,1239.0,31,2017
2,2017-08-01,3400893826706,1360.0,106.0,8,4.0,5303.0,572443.0,806.0,3578.0,3094.3333333333335,80667.0,122.0,1239.0,31,2017
11,2017-08-01,3400891225037,1360.0,106.0,8,9.0,5303.0,572443.0,806.0,15610.0,16064.0,80667.0,122.0,1239.0,31,2017
7,2017-08-01,3400893736135,1360.0,106.0,8,4.0,5303.0,572443.0,806.0,1707.0,1804.0,80667.0,122.0,1239.0,31,2017
10,2017-08-01,3400891235203,1360.0,106.0,8,5.0,5303.0,572443.0,806.0,1660.0,1340.0,80667.0,122.0,1239.0,31,2017
12,2017-08-01,3400891996128,1360.0,106.0,8,20.0,5303.0,572443.0,806.0,50530.0,55026.666666666664,80667.0,122.0,1239.0,31,2017
1,2017-08-01,3400890837149,1360.0,106.0,8,4.0,5303.0,572443.0,806.0,2570.0,2706.6666666666665,80667.0,122.0,1239.0,31,2017
12,2017-08-01,3400893875490,1360.0,106.0,8,12.0,5303.0,572443.0,806.0,7226.0,8487.333333333334,80667.0,122.0,1239.0,31,2017
15,2017-08-01,3400893022634,1360.0,106.0,8,7.0,5303.0,572443.0,806.0,2993.0,2896.6666666666665,80667.0,122.0,1239.0,31,2017
10,2017-09-01,3400891235203,1360.0,106.0,9,5.0,5303.0,572443.0,806.0,1792.0,1710.6666666666667,80667.0,122.0,1239.0,35,2017
14,2017-09-01,3400892761527,1360.0,106.0,9,5.0,5303.0,572443.0,806.0,4729.0,4777.666666666667,80667.0,122.0,1239.0,35,2017
2,2017-09-01,3400893826706,1360.0,106.0,9,4.0,5303.0,572443.0,806.0,3710.0,3726.0,80667.0,122.0,1239.0,35,2017
15,2017-09-01,3400893022634,1360.0,106.0,9,7.0,5303.0,572443.0,806.0,3480.0,3320.0,80667.0,122.0,1239.0,35,2017
6,2017-09-01,3400892745848,1360.0,106.0,9,7.5,5303.0,572443.0,806.0,6509.0,6032.333333333333,80667.0,122.0,1239.0,35,2017
11,2017-09-01,3400891225037,1360.0,106.0,9,11.0,5303.0,572443.0,806.0,16460.0,16347.333333333334,80667.0,122.0,1239.0,35,2017
17,2017-09-01,3400892669236,1360.0,106.0,9,1.0,5303.0,572443.0,806.0,0.0,0.0,80667.0,122.0,1239.0,35,2017
7,2017-09-01,3400893736135,1360.0,106.0,9,3.0,5303.0,572443.0,806.0,1768.0,1948.3333333333333,80667.0,122.0,1239.0,35,2017
