DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_ETB,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,RESID,SEASONAL,SEJ_HAD,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,TREND,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12,YEAR_2013,YEAR_2014,YEAR_2015,YEAR_2016,YEAR_2017,YEAR_2018,YEAR_2019,HOSPI_HOSPI_1,HOSPI_HOSPI_2,HOSPI_HOSPI_3,HOSPI_HOSPI_4,CLUSTER
2013-07-01,3400892697789,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,100.0,33.333333333333336,0.0,95.4960648148148,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-07-01,3400892761527,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,50.0,16.666666666666668,0.0,-363.7763888888889,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-07-01,3400892761695,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,100.0,33.333333333333336,0.0,33.11412037037043,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-07-01,3400893736135,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,40.0,13.333333333333334,0.0,25.845138888888933,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-07-01,3400893826706,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,20.0,6.666666666666667,0.0,72.41874999999997,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-07-01,3400893875490,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,90.0,30.0,0.0,-152.16539351851776,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400890837149,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,160.0,53.333333333333336,0.0,5.0731481481481495,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400891191226,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,440.0,146.66666666666666,0.0,-320.5587962962963,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400891225037,1471.0,112.0,12.0,4.0,5270.0,571675.0,683.0,2190.0,730.0,0.0,-660.063194444444,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400891996128,1471.0,112.0,12.0,3.0,5270.0,571675.0,683.0,4920.0,1640.0,0.0,-7232.989583333336,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400892065366,1471.0,112.0,12.0,2.0,5270.0,571675.0,683.0,1110.0,370.0,0.0,-320.70995370370366,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400892075761,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,110.0,36.66666666666666,0.0,-187.1251157407407,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400892088310,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,180.0,60.0,0.0,205.0175925925926,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400892203645,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,60.0,20.0,0.0,-23.470023148148183,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400892669236,1471.0,112.0,12.0,4.0,5270.0,571675.0,683.0,1212.0,404.0,0.0,-991.5696759259264,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400892697789,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,180.0,60.0,0.0,-26.42060185185182,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400892761527,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,150.0,50.0,0.0,100.87361111111116,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400892761695,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,60.0,20.0,0.0,-149.09421296296287,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400893736135,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,40.0,13.333333333333334,0.0,-280.84652777777774,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400893826706,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,70.0,23.33333333333333,0.0,-152.49791666666667,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-08-01,3400893875490,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,390.0,130.0,0.0,-1491.732060185185,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,3400890837149,1471.0,112.0,12.0,3.0,5270.0,571675.0,683.0,350.0,116.66666666666669,0.0,-50.51018518518504,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,3400891191226,1471.0,112.0,12.0,2.0,5270.0,571675.0,683.0,640.0,213.33333333333331,0.0,-53.69212962962961,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,3400891225037,1471.0,112.0,12.0,4.0,5270.0,571675.0,683.0,2870.0,956.6666666666666,0.0,-550.8298611111109,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,3400891996128,1471.0,112.0,12.0,6.0,5270.0,571675.0,683.0,7260.0,2420.0,0.0,-2305.989583333333,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,3400892065366,1471.0,112.0,12.0,2.0,5270.0,571675.0,683.0,1200.0,400.0,0.0,-265.28495370370376,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,3400892075761,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,290.0,96.66666666666669,0.0,-37.12511574074071,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,3400892088310,1471.0,112.0,12.0,3.0,5270.0,571675.0,683.0,960.0,320.0,0.0,-67.70740740740737,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,3400892203645,1471.0,112.0,12.0,2.0,5270.0,571675.0,683.0,120.0,40.0,0.0,-123.47835648148146,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,3400892508566,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,340.0,113.33333333333331,0.0,-299.76990740740746,0.0,72785.0,0.0,109.0,1049.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
