HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_ETB,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_HAD,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490,CLUSTER
3400891191226,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,10.0,0.0001124312615648,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400891225037,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,20.0,8.864042381771922e-05,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400891996128,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,110.0,9.062185359606028e-05,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892065366,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,30.0,0.0003192725468889,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892075761,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,2955.0,0.0723529490942091,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892088310,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,20.0,0.000414012510859,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892669236,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,10469.0,0.07903380643523,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3400892761695,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,20.0,9.730877190231547e-05,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
3400890837149,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,110.0,0.0008548130852903,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400891191226,1471.0,112.0,12.0,1.5,5270.0,571675.0,683.0,280.0,0.0016302532926905,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400891225037,1471.0,112.0,12.0,2.0,5270.0,571675.0,683.0,1710.0,0.0038336983301163,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400891996128,1471.0,112.0,12.0,2.0,5270.0,571675.0,683.0,3890.0,0.0016476700653829,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892065366,1471.0,112.0,12.0,2.0,5270.0,571675.0,683.0,570.0,0.0031927254688898,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892075761,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,2955.0,0.0723529490942091,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892088310,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,220.0,0.0024840750651544,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892203645,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,150.0,0.0021567868895507,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
3400892669236,1471.0,112.0,12.0,2.0,5270.0,571675.0,683.0,10469.0,0.07903380643523,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3400892697789,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,100.0,0.0039440477368455,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
3400892761527,1471.0,112.0,12.0,1.0,5270.0,571675.0,683.0,50.0,0.0002252831060699,0.0,72785.0,0.0,109.0,1049.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
