CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_SLD,SEJ_SSR,WEEK,YEAR
12,2017-04-01,3400891996128,2027.0,521.0,4,32.0,7356.0,1144892.0,1316.0,94100.0,97895.0,117583.0,120.0,1141.0,13,2017
17,2017-04-01,3400892669236,2027.0,521.0,4,14.0,7356.0,1144892.0,1316.0,10746.0,10482.0,117583.0,120.0,1141.0,13,2017
12,2017-04-01,3400893875490,2027.0,521.0,4,18.0,7356.0,1144892.0,1316.0,12823.0,13216.0,117583.0,120.0,1141.0,13,2017
16,2017-04-01,3400891191226,2027.0,521.0,4,13.0,7356.0,1144892.0,1316.0,6230.0,6265.0,117583.0,120.0,1141.0,13,2017
13,2017-04-01,3400892065366,2027.0,521.0,4,10.5,7356.0,1144892.0,1316.0,6910.0,7180.0,117583.0,120.0,1141.0,13,2017
10,2017-04-01,3400891235203,2027.0,521.0,4,1.0,7356.0,1144892.0,1316.0,1710.0,1065.0,117583.0,120.0,1141.0,13,2017
18,2017-04-01,3400892508566,2027.0,521.0,4,3.0,7356.0,1144892.0,1316.0,4340.0,4395.0,117583.0,120.0,1141.0,13,2017
6,2017-05-01,3400892745848,2027.0,521.0,5,1.0,7356.0,1144892.0,1316.0,580.0,420.0,117583.0,120.0,1141.0,18,2017
7,2017-05-01,3400893736135,2027.0,521.0,5,7.0,7356.0,1144892.0,1316.0,5810.0,5380.0,117583.0,120.0,1141.0,18,2017
12,2017-05-01,3400891996128,2027.0,521.0,5,31.0,7356.0,1144892.0,1316.0,101160.0,98983.33333333333,117583.0,120.0,1141.0,18,2017
10,2017-05-01,3400891235203,2027.0,521.0,5,1.0,7356.0,1144892.0,1316.0,470.0,866.6666666666666,117583.0,120.0,1141.0,18,2017
5,2017-05-01,3400892075761,2027.0,521.0,5,6.0,7356.0,1144892.0,1316.0,2700.0,2520.0,117583.0,120.0,1141.0,18,2017
14,2017-05-01,3400892761695,2027.0,521.0,5,14.0,7356.0,1144892.0,1316.0,25375.0,25153.333333333332,117583.0,120.0,1141.0,18,2017
14,2017-05-01,3400892761527,2027.0,521.0,5,24.0,7356.0,1144892.0,1316.0,32145.0,29035.0,117583.0,120.0,1141.0,18,2017
15,2017-05-01,3400893022634,2027.0,521.0,5,2.0,7356.0,1144892.0,1316.0,3850.0,3455.6666666666665,117583.0,120.0,1141.0,18,2017
13,2017-05-01,3400892065366,2027.0,521.0,5,8.0,7356.0,1144892.0,1316.0,7480.0,7280.0,117583.0,120.0,1141.0,18,2017
3,2017-05-01,3400892052120,2027.0,521.0,5,3.0,7356.0,1144892.0,1316.0,1800.0,1636.6666666666667,117583.0,120.0,1141.0,18,2017
3,2017-05-01,3400892729589,2027.0,521.0,5,10.0,7356.0,1144892.0,1316.0,6420.0,6690.0,117583.0,120.0,1141.0,18,2017
17,2017-05-01,3400892669236,2027.0,521.0,5,14.0,7356.0,1144892.0,1316.0,10872.0,10612.0,117583.0,120.0,1141.0,18,2017
2,2017-05-01,3400893826706,2027.0,521.0,5,8.0,7356.0,1144892.0,1316.0,7345.0,6978.333333333333,117583.0,120.0,1141.0,18,2017
12,2017-05-01,3400893875490,2027.0,521.0,5,19.0,7356.0,1144892.0,1316.0,15036.0,13822.666666666666,117583.0,120.0,1141.0,18,2017
1,2017-05-01,3400890837149,2027.0,521.0,5,5.0,7356.0,1144892.0,1316.0,3230.0,3706.6666666666665,117583.0,120.0,1141.0,18,2017
16,2017-05-01,3400891191226,2027.0,521.0,5,13.0,7356.0,1144892.0,1316.0,5680.0,6070.0,117583.0,120.0,1141.0,18,2017
8,2017-05-01,3400892697789,2027.0,521.0,5,3.0,7356.0,1144892.0,1316.0,2090.0,1990.0,117583.0,120.0,1141.0,18,2017
11,2017-05-01,3400891225037,2027.0,521.0,5,9.0,7356.0,1144892.0,1316.0,10120.0,9586.666666666666,117583.0,120.0,1141.0,18,2017
9,2017-05-01,3400892203645,2027.0,521.0,5,9.0,7356.0,1144892.0,1316.0,5110.0,5413.333333333333,117583.0,120.0,1141.0,18,2017
18,2017-05-01,3400892508566,2027.0,521.0,5,5.0,7356.0,1144892.0,1316.0,6330.0,5040.0,117583.0,120.0,1141.0,18,2017
4,2017-05-01,3400892088310,2027.0,521.0,5,6.0,7356.0,1144892.0,1316.0,4668.0,4680.333333333333,117583.0,120.0,1141.0,18,2017
8,2017-06-01,3400892697789,2027.0,521.0,6,2.0,7356.0,1144892.0,1316.0,1880.0,2056.6666666666665,117583.0,120.0,1141.0,22,2017
17,2017-06-01,3400892669236,2027.0,521.0,6,13.5,7356.0,1144892.0,1316.0,11162.0,10926.666666666666,117583.0,120.0,1141.0,22,2017
11,2017-06-01,3400891225037,2027.0,521.0,6,9.0,7356.0,1144892.0,1316.0,10520.0,9660.0,117583.0,120.0,1141.0,22,2017
10,2017-06-01,3400891235203,2027.0,521.0,6,1.0,7356.0,1144892.0,1316.0,770.0,983.3333333333334,117583.0,120.0,1141.0,22,2017
15,2017-06-01,3400893022634,2027.0,521.0,6,2.0,7356.0,1144892.0,1316.0,4515.0,3826.0,117583.0,120.0,1141.0,22,2017
13,2017-06-01,3400892065366,2027.0,521.0,6,9.0,7356.0,1144892.0,1316.0,7930.0,7440.0,117583.0,120.0,1141.0,22,2017
12,2017-06-01,3400893875490,2027.0,521.0,6,18.5,7356.0,1144892.0,1316.0,14427.0,14095.333333333334,117583.0,120.0,1141.0,22,2017
16,2017-06-01,3400891191226,2027.0,521.0,6,13.0,7356.0,1144892.0,1316.0,7670.0,6526.666666666667,117583.0,120.0,1141.0,22,2017
6,2017-06-01,3400892745848,2027.0,521.0,6,1.0,7356.0,1144892.0,1316.0,390.0,390.0,117583.0,120.0,1141.0,22,2017
7,2017-06-01,3400893736135,2027.0,521.0,6,8.0,7356.0,1144892.0,1316.0,4365.0,5238.333333333333,117583.0,120.0,1141.0,22,2017
12,2017-06-01,3400891996128,2027.0,521.0,6,27.0,7356.0,1144892.0,1316.0,101540.0,98933.33333333333,117583.0,120.0,1141.0,22,2017
14,2017-06-01,3400892761695,2027.0,521.0,6,13.0,7356.0,1144892.0,1316.0,27330.0,25781.666666666668,117583.0,120.0,1141.0,22,2017
2,2017-06-01,3400893826706,2027.0,521.0,6,10.0,7356.0,1144892.0,1316.0,7373.0,6987.666666666667,117583.0,120.0,1141.0,22,2017
3,2017-06-01,3400892729589,2027.0,521.0,6,9.0,7356.0,1144892.0,1316.0,7210.0,6880.0,117583.0,120.0,1141.0,22,2017
1,2017-06-01,3400890837149,2027.0,521.0,6,5.0,7356.0,1144892.0,1316.0,3870.0,3706.6666666666665,117583.0,120.0,1141.0,22,2017
14,2017-06-01,3400892761527,2027.0,521.0,6,21.5,7356.0,1144892.0,1316.0,31315.0,29956.666666666668,117583.0,120.0,1141.0,22,2017
18,2017-06-01,3400892508566,2027.0,521.0,6,3.0,7356.0,1144892.0,1316.0,5380.0,5350.0,117583.0,120.0,1141.0,22,2017
9,2017-06-01,3400892203645,2027.0,521.0,6,8.0,7356.0,1144892.0,1316.0,4375.0,5053.333333333333,117583.0,120.0,1141.0,22,2017
5,2017-06-01,3400892075761,2027.0,521.0,6,3.5,7356.0,1144892.0,1316.0,2160.0,2416.6666666666665,117583.0,120.0,1141.0,22,2017
3,2017-06-01,3400892052120,2027.0,521.0,6,3.0,7356.0,1144892.0,1316.0,1810.0,1770.0,117583.0,120.0,1141.0,22,2017
4,2017-06-01,3400892088310,2027.0,521.0,6,7.0,7356.0,1144892.0,1316.0,4232.0,4578.666666666667,117583.0,120.0,1141.0,22,2017
15,2017-07-01,3400893022634,2027.0,521.0,7,2.0,7356.0,1144892.0,1316.0,3393.0,3919.3333333333335,117583.0,120.0,1141.0,26,2017
14,2017-07-01,3400892761527,2027.0,521.0,7,19.0,7356.0,1144892.0,1316.0,27390.0,30283.333333333332,117583.0,120.0,1141.0,26,2017
1,2017-07-01,3400890837149,2027.0,521.0,7,6.0,7356.0,1144892.0,1316.0,3890.0,3663.3333333333335,117583.0,120.0,1141.0,26,2017
3,2017-07-01,3400892052120,2027.0,521.0,7,3.0,7356.0,1144892.0,1316.0,1770.0,1793.3333333333333,117583.0,120.0,1141.0,26,2017
12,2017-07-01,3400891996128,2027.0,521.0,7,30.0,7356.0,1144892.0,1316.0,103500.0,102066.66666666667,117583.0,120.0,1141.0,26,2017
17,2017-07-01,3400892669236,2027.0,521.0,7,11.0,7356.0,1144892.0,1316.0,9282.0,10438.666666666666,117583.0,120.0,1141.0,26,2017
18,2017-07-01,3400892508566,2027.0,521.0,7,3.0,7356.0,1144892.0,1316.0,4130.0,5280.0,117583.0,120.0,1141.0,26,2017
13,2017-07-01,3400892065366,2027.0,521.0,7,9.0,7356.0,1144892.0,1316.0,7810.0,7740.0,117583.0,120.0,1141.0,26,2017
12,2017-07-01,3400893875490,2027.0,521.0,7,17.0,7356.0,1144892.0,1316.0,13363.0,14275.333333333334,117583.0,120.0,1141.0,26,2017
11,2017-07-01,3400891225037,2027.0,521.0,7,9.0,7356.0,1144892.0,1316.0,9930.0,10190.0,117583.0,120.0,1141.0,26,2017
14,2017-07-01,3400892761695,2027.0,521.0,7,12.0,7356.0,1144892.0,1316.0,25840.0,26181.666666666668,117583.0,120.0,1141.0,26,2017
3,2017-07-01,3400892729589,2027.0,521.0,7,8.0,7356.0,1144892.0,1316.0,5900.0,6510.0,117583.0,120.0,1141.0,26,2017
6,2017-07-01,3400892745848,2027.0,521.0,7,1.0,7356.0,1144892.0,1316.0,120.0,363.3333333333333,117583.0,120.0,1141.0,26,2017
10,2017-07-01,3400891235203,2027.0,521.0,7,1.0,7356.0,1144892.0,1316.0,1160.0,800.0,117583.0,120.0,1141.0,26,2017
16,2017-07-01,3400891191226,2027.0,521.0,7,14.0,7356.0,1144892.0,1316.0,6310.0,6553.333333333333,117583.0,120.0,1141.0,26,2017
8,2017-07-01,3400892697789,2027.0,521.0,7,3.0,7356.0,1144892.0,1316.0,1540.0,1836.6666666666667,117583.0,120.0,1141.0,26,2017
7,2017-07-01,3400893736135,2027.0,521.0,7,7.0,7356.0,1144892.0,1316.0,5100.0,5091.666666666667,117583.0,120.0,1141.0,26,2017
9,2017-07-01,3400892203645,2027.0,521.0,7,9.0,7356.0,1144892.0,1316.0,5490.0,4991.666666666667,117583.0,120.0,1141.0,26,2017
4,2017-07-01,3400892088310,2027.0,521.0,7,7.0,7356.0,1144892.0,1316.0,4868.0,4589.333333333333,117583.0,120.0,1141.0,26,2017
2,2017-07-01,3400893826706,2027.0,521.0,7,8.0,7356.0,1144892.0,1316.0,8153.0,7623.666666666667,117583.0,120.0,1141.0,26,2017
5,2017-07-01,3400892075761,2027.0,521.0,7,6.0,7356.0,1144892.0,1316.0,2580.0,2480.0,117583.0,120.0,1141.0,26,2017
3,2017-08-01,3400892729589,2027.0,521.0,8,8.0,7356.0,1144892.0,1316.0,6190.0,6433.333333333333,117583.0,120.0,1141.0,31,2017
18,2017-08-01,3400892508566,2027.0,521.0,8,2.0,7356.0,1144892.0,1316.0,3780.0,4430.0,117583.0,120.0,1141.0,31,2017
5,2017-08-01,3400892075761,2027.0,521.0,8,4.0,7356.0,1144892.0,1316.0,1700.0,2146.6666666666665,117583.0,120.0,1141.0,31,2017
8,2017-08-01,3400892697789,2027.0,521.0,8,2.0,7356.0,1144892.0,1316.0,2370.0,1930.0,117583.0,120.0,1141.0,31,2017
17,2017-08-01,3400892669236,2027.0,521.0,8,11.0,7356.0,1144892.0,1316.0,10218.0,10220.666666666666,117583.0,120.0,1141.0,31,2017
