HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490
3400891191226,1157.0,187.0,8.0,5001.0,539067.0,714.0,2600.0,0.17497809371588618,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892761695,1157.0,187.0,15.0,5001.0,539067.0,714.0,14850.0,0.1692492537971416,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892203645,1157.0,187.0,6.0,5001.0,539067.0,714.0,3250.0,0.17272557934307586,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3400893022634,1157.0,187.0,9.0,5001.0,539067.0,714.0,4527.0,0.15831080870713232,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3400891235203,1157.0,187.0,5.0,5001.0,539067.0,714.0,1463.0,0.17942417284775677,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892052120,1157.0,187.0,3.5,5001.0,539067.0,714.0,1390.0,0.15466740046554986,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892729589,1157.0,187.0,8.0,5001.0,539067.0,714.0,4590.0,0.17750204775922843,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400892065366,1157.0,187.0,9.0,5001.0,539067.0,714.0,4748.0,0.13200005225990538,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892761527,1157.0,187.0,13.0,5001.0,539067.0,714.0,10840.0,0.16113807983595832,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3400893826706,1157.0,187.0,5.5,5001.0,539067.0,714.0,1563.0,0.1533706119816312,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400890837149,1157.0,187.0,5.0,5001.0,539067.0,714.0,1860.0,0.147026420308378,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892669236,1157.0,187.0,15.0,5001.0,539067.0,714.0,7494.0,0.16302888977116045,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400891996128,1157.0,187.0,26.5,5001.0,539067.0,714.0,62390.0,0.15947729085235943,75420.0,1236.0,261.0,2017.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891996128,1157.0,187.0,28.0,5001.0,539067.0,714.0,67046.0,0.16247899459745524,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893826706,1157.0,187.0,3.5,5001.0,539067.0,714.0,1279.0,0.1405130610430102,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400890837149,1157.0,187.0,4.5,5001.0,539067.0,714.0,2260.0,0.14724423722735341,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892697789,1157.0,187.0,2.0,5001.0,539067.0,714.0,850.0,0.1592930492866041,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3400892075761,1157.0,187.0,5.0,5001.0,539067.0,714.0,2360.0,0.18597887557841444,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892065366,1157.0,187.0,7.0,5001.0,539067.0,714.0,5665.0,0.1358197180407276,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893022634,1157.0,187.0,8.5,5001.0,539067.0,714.0,5678.0,0.16781417326736855,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3400891225037,1157.0,187.0,9.0,5001.0,539067.0,714.0,14468.0,0.15234088008854582,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893875490,1157.0,187.0,11.5,5001.0,539067.0,714.0,9520.0,0.18033780568072602,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3400892729589,1157.0,187.0,7.0,5001.0,539067.0,714.0,4690.0,0.1794356212642309,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400892088310,1157.0,187.0,8.0,5001.0,539067.0,714.0,2683.5,0.1805132753183693,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3400891191226,1157.0,187.0,6.0,5001.0,539067.0,714.0,2620.0,0.17520156509994225,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892761695,1157.0,187.0,15.0,5001.0,539067.0,714.0,15470.0,0.17044088770726448,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892203645,1157.0,187.0,6.0,5001.0,539067.0,714.0,2905.0,0.16598805674458708,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3400892052120,1157.0,187.0,4.0,5001.0,539067.0,714.0,1860.0,0.1669344211347532,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891235203,1157.0,187.0,5.0,5001.0,539067.0,714.0,1770.0,0.19569248029125325,75420.0,1236.0,261.0,2017.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
