HOSPI_CODE_UCD,YEAR,MONTH,QUANTITY,CODE_ATC,N_UFS,WEEK,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD
3400890837149,2017.0,3.0,3870.0,1,7.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400893826706,2017.0,3.0,7345.0,2,7.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892729589,2017.0,3.0,6640.0,3,3.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892088310,2017.0,3.0,4537.0,4,6.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892075761,2017.0,3.0,2470.0,5,5.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892745848,2017.0,3.0,480.0,6,1.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400893736135,2017.0,3.0,4790.0,7,6.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892697789,2017.0,3.0,1680.0,8,1.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892203645,2017.0,3.0,5455.0,9,6.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400891235203,2017.0,3.0,420.0,10,7.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400891225037,2017.0,3.0,10300.0,11,14.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400893875490,2017.0,3.0,13609.0,12,14.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892065366,2017.0,3.0,7450.0,13,11.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892761527,2017.0,3.0,28550.0,14,25.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400893022634,2017.0,3.0,3404.0,15,2.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400891191226,2017.0,3.0,6300.0,16,13.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892761695,2017.0,3.0,25445.0,14,10.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892669236,2017.0,3.0,10218.0,17,11.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892508566,2017.0,3.0,4450.0,18,3.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892052120,2017.0,3.0,1410.0,3,2.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400891996128,2017.0,3.0,101690.0,12,29.0,9,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400893022634,2017.0,4.0,3113.0,15,2.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400890837149,2017.0,4.0,4020.0,1,5.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400893826706,2017.0,4.0,6245.0,2,7.5,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892729589,2017.0,4.0,7010.0,3,10.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892761695,2017.0,4.0,24640.0,14,12.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892088310,2017.0,4.0,4836.0,4,6.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892075761,2017.0,4.0,2390.0,5,6.5,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892745848,2017.0,4.0,200.0,6,1.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400893736135,2017.0,4.0,5540.0,7,8.5,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892052120,2017.0,4.0,1700.0,3,3.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892697789,2017.0,4.0,2200.0,8,3.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400891225037,2017.0,4.0,8340.0,11,10.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892203645,2017.0,4.0,5675.0,9,8.5,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892761527,2017.0,4.0,26410.0,14,24.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400891996128,2017.0,4.0,94100.0,12,32.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892669236,2017.0,4.0,10746.0,17,14.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400893875490,2017.0,4.0,12823.0,12,18.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400891191226,2017.0,4.0,6230.0,16,13.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892065366,2017.0,4.0,6910.0,13,10.5,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400891235203,2017.0,4.0,1710.0,10,1.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892508566,2017.0,4.0,4340.0,18,3.0,13,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
3400892745848,2017.0,5.0,580.0,6,1.0,18,50.0,1144892.0,1316.0,7356.0,2027.0,521.0,117583.0,1046.0,2556.0,1141.0,120.0
