HOSPI_CODE_UCD,YEAR,MONTH,QUANTITY,N_UFS,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD
3400892697789,2013.0,9.0,490.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892508566,2013.0,9.0,340.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893875490,2013.0,9.0,1210.0,3.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892203645,2013.0,9.0,120.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893826706,2013.0,9.0,220.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892075761,2013.0,9.0,290.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891225037,2013.0,9.0,2870.0,4.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892065366,2013.0,9.0,1200.0,3.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893736135,2013.0,9.0,140.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892761695,2013.0,9.0,1643.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400890837149,2013.0,9.0,350.0,3.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891996128,2013.0,9.0,7260.0,6.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891225037,2013.0,10.0,5240.0,4.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892203645,2013.0,10.0,400.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891191226,2013.0,10.0,1680.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893736135,2013.0,10.0,300.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893826706,2013.0,10.0,515.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400890837149,2013.0,10.0,1060.0,1.5,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892669236,2013.0,10.0,3264.0,4.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891996128,2013.0,10.0,13970.0,5.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893875490,2013.0,10.0,3000.0,3.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892088310,2013.0,10.0,1330.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892761695,2013.0,10.0,580.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892697789,2013.0,10.0,570.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892075761,2013.0,10.0,490.0,1.5,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892508566,2013.0,10.0,1040.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892065366,2013.0,10.0,2760.0,5.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892761527,2013.0,10.0,1400.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892088310,2013.0,11.0,1170.0,3.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400890837149,2013.0,11.0,1400.0,4.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891996128,2013.0,11.0,16210.0,6.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893875490,2013.0,11.0,2580.0,4.5,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892075761,2013.0,11.0,720.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892203645,2013.0,11.0,520.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892065366,2013.0,11.0,2340.0,5.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892508566,2013.0,11.0,720.0,1.5,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892761695,2013.0,11.0,1160.0,3.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893736135,2013.0,11.0,370.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892761527,2013.0,11.0,2650.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891191226,2013.0,11.0,1440.0,3.5,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891225037,2013.0,11.0,6180.0,6.5,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892669236,2013.0,11.0,2860.0,5.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893826706,2013.0,11.0,700.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892697789,2013.0,11.0,680.0,3.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892508566,2013.0,12.0,2290.0,2.5,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893826706,2013.0,12.0,1175.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400890837149,2013.0,12.0,1620.0,4.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892075761,2013.0,12.0,705.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891996128,2013.0,12.0,23020.0,10.5,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893875490,2013.0,12.0,3471.0,7.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892697789,2013.0,12.0,760.0,3.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891225037,2013.0,12.0,6540.0,6.5,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892761695,2013.0,12.0,620.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892088310,2013.0,12.0,1370.0,4.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892669236,2013.0,12.0,4691.0,10.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400891191226,2013.0,12.0,2200.0,6.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892203645,2013.0,12.0,490.0,2.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400893736135,2013.0,12.0,240.0,1.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892761527,2013.0,12.0,2045.0,3.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892065366,2013.0,12.0,2850.0,5.0,12.0,571675.0,683.0,5270.0,1471.0,112.0,72785.0,0.0,0.0,1049.0,109.0
3400892761695,2014.0,1.0,1560.0,2.0,12.0,571632.0,684.0,5321.0,1418.0,151.0,71879.0,0.0,0.0,1194.0,79.0
3400893022634,2014.0,1.0,333.0,3.0,12.0,571632.0,684.0,5321.0,1418.0,151.0,71879.0,0.0,0.0,1194.0,79.0
