ID_REF,ID_SITE_RATTACHE,CODE_ATC,HOSPI_CODE_UCD,DATE_MOUV,N_UFS,QUANTITY,WEEK,MONTH,YEAR,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD
503129,HOSPI_3,N02BE01,3400891996128,2014-07-07,3,230.0,28,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-08,25,3370.0,28,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-09,46,5650.0,28,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-10,41,7000.0,28,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-11,54,9140.0,28,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-15,24,5370.0,29,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-16,40,5500.0,29,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-17,45,7610.0,29,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-18,43,5570.0,29,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-21,22,3810.0,30,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-22,36,4930.0,30,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-23,24,1930.0,30,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-24,41,4910.0,30,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-25,17,2460.0,30,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-28,44,5590.0,31,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-29,33,5890.0,31,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-30,39,4720.0,31,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-07-31,16,650.0,31,7,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-01,50,7360.0,31,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-04,38,5020.0,32,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-05,57,8800.0,32,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-06,46,5280.0,32,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-07,34,6310.0,32,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-08,35,5830.0,32,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-11,24,4380.0,33,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-12,49,5030.0,33,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-13,31,5540.0,33,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-14,35,4040.0,33,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-18,39,5610.0,34,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-19,37,6380.0,34,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
