HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490
3400892697789,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,11190.0,0.12787075327958575,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3400891191226,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8460.0,0.15497097665571874,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892508566,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6900.0,0.15621777799865297,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3400891235203,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,9150.0,0.20873857920125197,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892729589,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,15330.0,0.14541768287638368,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400892203645,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,10700.0,0.14978257931554734,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3400893826706,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6900.0,0.19438862402597226,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400893736135,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,4450.0,0.12834564281660177,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3400892669236,4536.0,470.0,1.5,15604.0,1835903.0,2526.0,28980.0,0.15813907060313412,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400892065366,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,19050.0,0.16220552968701898,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891996128,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,172200.0,0.12833639591168045,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892745848,4536.0,470.0,1.5,15604.0,1835903.0,2526.0,10860.0,0.16264971751471485,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3400892761527,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6400.0,0.15281646438424032,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3400892075761,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,10770.0,0.17828697213140612,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3400890837149,4536.0,470.0,1.5,15604.0,1835903.0,2526.0,15800.0,0.15834785256762682,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893875490,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,28301.0,0.18503215326411568,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3400892761695,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,10160.0,0.1716659875228782,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892052120,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6990.0,0.12190011592522766,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892745848,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,9780.0,0.1515419319283441,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3400893736135,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,5240.0,0.12485860081194387,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3400892761527,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,4550.0,0.1428991717103368,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3400892761695,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,7940.0,0.16356211567945586,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892697789,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,11040.0,0.13753209908293224,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3400892669236,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,20868.0,0.15069416950148865,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400892729589,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,19440.0,0.1581140011800991,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400891235203,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8850.0,0.2118173193074651,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891996128,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,182200.0,0.13407485287173174,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
