CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,WEEK,YEAR,CLUSTER
10,2017-04-01,3400891235203,1157.0,187.0,4,6.0,5001.0,539067.0,714.0,1463.0,1431.5,75420.0,1236.0,261.0,13,2017,2
18,2017-04-01,3400892508566,1157.0,187.0,4,1.0,5001.0,539067.0,714.0,0.0,0.0,75420.0,1236.0,261.0,13,2017,6
6,2017-05-01,3400892745848,1157.0,187.0,5,9.0,5001.0,539067.0,714.0,3920.0,3720.0,75420.0,1236.0,261.0,18,2017,3
7,2017-05-01,3400893736135,1157.0,187.0,5,6.0,5001.0,539067.0,714.0,3920.0,3920.0,75420.0,1236.0,261.0,18,2017,7
12,2017-05-01,3400891996128,1157.0,187.0,5,33.0,5001.0,539067.0,714.0,67046.0,65494.0,75420.0,1236.0,261.0,18,2017,0
10,2017-05-01,3400891235203,1157.0,187.0,5,5.0,5001.0,539067.0,714.0,1400.0,1421.0,75420.0,1236.0,261.0,18,2017,2
5,2017-05-01,3400892075761,1157.0,187.0,5,5.0,5001.0,539067.0,714.0,2360.0,2350.0,75420.0,1236.0,261.0,18,2017,0
14,2017-05-01,3400892761695,1157.0,187.0,5,15.0,5001.0,539067.0,714.0,15470.0,15256.666666666666,75420.0,1236.0,261.0,18,2017,3
14,2017-05-01,3400892761527,1157.0,187.0,5,10.0,5001.0,539067.0,714.0,13375.0,12099.333333333334,75420.0,1236.0,261.0,18,2017,3
15,2017-05-01,3400893022634,1157.0,187.0,5,9.0,5001.0,539067.0,714.0,5678.0,5084.333333333333,75420.0,1236.0,261.0,18,2017,5
13,2017-05-01,3400892065366,1157.0,187.0,5,7.0,5001.0,539067.0,714.0,5665.0,5453.666666666667,75420.0,1236.0,261.0,18,2017,0
3,2017-05-01,3400892052120,1157.0,187.0,5,4.0,5001.0,539067.0,714.0,1860.0,1650.0,75420.0,1236.0,261.0,18,2017,0
3,2017-05-01,3400892729589,1157.0,187.0,5,6.0,5001.0,539067.0,714.0,4690.0,4613.333333333333,75420.0,1236.0,261.0,18,2017,3
17,2017-05-01,3400892669236,1157.0,187.0,5,18.0,5001.0,539067.0,714.0,8100.0,7915.333333333333,75420.0,1236.0,261.0,18,2017,3
2,2017-05-01,3400893826706,1157.0,187.0,5,3.0,5001.0,539067.0,714.0,1279.0,1542.6666666666667,75420.0,1236.0,261.0,18,2017,1
12,2017-05-01,3400893875490,1157.0,187.0,5,12.0,5001.0,539067.0,714.0,9520.0,9073.333333333334,75420.0,1236.0,261.0,18,2017,1
1,2017-05-01,3400890837149,1157.0,187.0,5,5.0,5001.0,539067.0,714.0,2260.0,2240.0,75420.0,1236.0,261.0,18,2017,4
16,2017-05-01,3400891191226,1157.0,187.0,5,6.0,5001.0,539067.0,714.0,2620.0,2626.6666666666665,75420.0,1236.0,261.0,18,2017,2
8,2017-05-01,3400892697789,1157.0,187.0,5,2.0,5001.0,539067.0,714.0,850.0,756.6666666666666,75420.0,1236.0,261.0,18,2017,3
11,2017-05-01,3400891225037,1157.0,187.0,5,8.0,5001.0,539067.0,714.0,14468.0,14209.333333333334,75420.0,1236.0,261.0,18,2017,2
9,2017-05-01,3400892203645,1157.0,187.0,5,7.0,5001.0,539067.0,714.0,2905.0,3190.0,75420.0,1236.0,261.0,18,2017,8
18,2017-05-01,3400892508566,1157.0,187.0,5,1.0,5001.0,539067.0,714.0,0.0,0.0,75420.0,1236.0,261.0,18,2017,6
4,2017-05-01,3400892088310,1157.0,187.0,5,8.0,5001.0,539067.0,714.0,3733.0,3208.6666666666665,75420.0,1236.0,261.0,18,2017,0
8,2017-06-01,3400892697789,1157.0,187.0,6,2.0,5001.0,539067.0,714.0,480.0,643.3333333333334,75420.0,1236.0,261.0,22,2017,3
