CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,WEEK,YEAR,CLUSTER
12,2017-04-01,3400893875490,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,23040.0,22175.0,254570.0,5.0,285.0,8464.0,13,2017,1
16,2017-04-01,3400891191226,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,8620.0,8840.0,254570.0,5.0,285.0,8464.0,13,2017,2
13,2017-04-01,3400892065366,4500.0,467.0,4,2.0,15650.0,1843319.0,2556.0,19500.0,19500.0,254570.0,5.0,285.0,8464.0,13,2017,0
10,2017-04-01,3400891235203,4500.0,467.0,4,1.0,15650.0,1843319.0,2556.0,7950.0,6825.0,254570.0,5.0,285.0,8464.0,13,2017,2
18,2017-04-01,3400892508566,4500.0,467.0,4,2.0,15650.0,1843319.0,2556.0,7650.0,7350.0,254570.0,5.0,285.0,8464.0,13,2017,3
6,2017-05-01,3400892745848,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,12660.0,11700.0,254570.0,5.0,285.0,8464.0,18,2017,3
7,2017-05-01,3400893736135,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,10030.0,8423.333333333334,254570.0,5.0,285.0,8464.0,18,2017,1
12,2017-05-01,3400891996128,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,206200.0,203133.3333333333,254570.0,5.0,285.0,8464.0,18,2017,5
10,2017-05-01,3400891235203,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,8250.0,7300.0,254570.0,5.0,285.0,8464.0,18,2017,2
5,2017-05-01,3400892075761,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,7710.0,8270.0,254570.0,5.0,285.0,8464.0,18,2017,0
14,2017-05-01,3400892761695,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,8560.0,8980.0,254570.0,5.0,285.0,8464.0,18,2017,3
14,2017-05-01,3400892761527,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,7200.0,6600.0,254570.0,5.0,285.0,8464.0,18,2017,3
15,2017-05-01,3400893022634,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,0.0,0.0,254570.0,5.0,209.0,8464.0,18,2017,6
13,2017-05-01,3400892065366,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,19500.0,19500.0,254570.0,5.0,285.0,8464.0,18,2017,0
3,2017-05-01,3400892052120,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,8640.0,8560.0,254570.0,5.0,285.0,8464.0,18,2017,0
3,2017-05-01,3400892729589,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,20790.0,18740.0,254570.0,5.0,285.0,8464.0,18,2017,3
17,2017-05-01,3400892669236,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,25290.0,25290.666666666668,254570.0,5.0,285.0,8464.0,18,2017,3
2,2017-05-01,3400893826706,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,6650.0,5433.333333333333,254570.0,5.0,285.0,8464.0,18,2017,1
12,2017-05-01,3400893875490,4500.0,467.0,5,2.0,15650.0,1843319.0,2556.0,21310.0,21886.666666666668,254570.0,5.0,285.0,8464.0,18,2017,1
1,2017-05-01,3400890837149,4500.0,467.0,5,2.0,15650.0,1843319.0,2556.0,18300.0,17600.0,254570.0,5.0,285.0,8464.0,18,2017,4
16,2017-05-01,3400891191226,4500.0,467.0,5,2.0,15650.0,1843319.0,2556.0,9920.0,9200.0,254570.0,5.0,285.0,8464.0,18,2017,2
8,2017-05-01,3400892697789,4500.0,467.0,5,1.0,15650.0,1843319.0,2556.0,12270.0,12440.0,254570.0,5.0,285.0,8464.0,18,2017,3
11,2017-05-01,3400891225037,4500.0,467.0,5,2.0,15650.0,1843319.0,2556.0,29800.0,26520.0,254570.0,5.0,285.0,8464.0,18,2017,2
9,2017-05-01,3400892203645,4500.0,467.0,5,2.0,15650.0,1843319.0,2556.0,10250.0,9850.0,254570.0,5.0,285.0,8464.0,18,2017,0
18,2017-05-01,3400892508566,4500.0,467.0,5,2.0,15650.0,1843319.0,2556.0,9100.0,7933.333333333333,254570.0,5.0,285.0,8464.0,18,2017,3
4,2017-05-01,3400892088310,4500.0,467.0,5,2.0,15650.0,1843319.0,2556.0,6220.0,6220.0,254570.0,5.0,285.0,8464.0,18,2017,0
8,2017-06-01,3400892697789,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,11280.0,12110.0,254570.0,5.0,285.0,8464.0,22,2017,3
17,2017-06-01,3400892669236,4500.0,467.0,6,2.0,15650.0,1843319.0,2556.0,27360.0,26100.0,254570.0,5.0,285.0,8464.0,22,2017,3
11,2017-06-01,3400891225037,4500.0,467.0,6,2.0,15650.0,1843319.0,2556.0,27960.0,27373.33333333333,254570.0,5.0,285.0,8464.0,22,2017,2
10,2017-06-01,3400891235203,4500.0,467.0,6,2.0,15650.0,1843319.0,2556.0,4500.0,6900.0,254570.0,5.0,285.0,8464.0,22,2017,2
15,2017-06-01,3400893022634,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,0.0,0.0,254570.0,5.0,209.0,8464.0,22,2017,6
13,2017-06-01,3400892065366,4500.0,467.0,6,2.0,15650.0,1843319.0,2556.0,22410.0,20470.0,254570.0,5.0,285.0,8464.0,22,2017,0
12,2017-06-01,3400893875490,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,23260.0,22536.666666666668,254570.0,5.0,285.0,8464.0,22,2017,1
16,2017-06-01,3400891191226,4500.0,467.0,6,2.0,15650.0,1843319.0,2556.0,10560.0,9700.0,254570.0,5.0,285.0,8464.0,22,2017,2
6,2017-06-01,3400892745848,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,12600.0,11980.0,254570.0,5.0,285.0,8464.0,22,2017,3
7,2017-06-01,3400893736135,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,7070.0,8386.666666666666,254570.0,5.0,285.0,8464.0,22,2017,1
12,2017-06-01,3400891996128,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,202200.0,203733.3333333333,254570.0,5.0,285.0,8464.0,22,2017,5
14,2017-06-01,3400892761695,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,9020.0,9206.666666666666,254570.0,5.0,285.0,8464.0,22,2017,3
2,2017-06-01,3400893826706,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,4400.0,5200.0,254570.0,5.0,285.0,8464.0,22,2017,1
3,2017-06-01,3400892729589,4500.0,467.0,6,2.0,15650.0,1843319.0,2556.0,17550.0,18760.0,254570.0,5.0,285.0,8464.0,22,2017,3
1,2017-06-01,3400890837149,4500.0,467.0,6,1.5,15650.0,1843319.0,2556.0,17100.0,17600.0,254570.0,5.0,285.0,8464.0,22,2017,4
14,2017-06-01,3400892761527,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,7450.0,6966.666666666667,254570.0,5.0,285.0,8464.0,22,2017,3
18,2017-06-01,3400892508566,4500.0,467.0,6,2.0,15650.0,1843319.0,2556.0,6400.0,7716.666666666667,254570.0,5.0,285.0,8464.0,22,2017,3
9,2017-06-01,3400892203645,4500.0,467.0,6,2.0,15650.0,1843319.0,2556.0,9850.0,9950.0,254570.0,5.0,285.0,8464.0,22,2017,0
5,2017-06-01,3400892075761,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,11430.0,9090.0,254570.0,5.0,285.0,8464.0,22,2017,0
3,2017-06-01,3400892052120,4500.0,467.0,6,1.0,15650.0,1843319.0,2556.0,9780.0,9130.0,254570.0,5.0,285.0,8464.0,22,2017,0
4,2017-06-01,3400892088310,4500.0,467.0,6,2.0,15650.0,1843319.0,2556.0,2220.0,4886.666666666667,254570.0,5.0,285.0,8464.0,22,2017,0
15,2017-07-01,3400893022634,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,0.0,0.0,254570.0,5.0,209.0,8464.0,26,2017,6
