HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490,CLUSTER
3400890837149,1157.0,187.0,1.0,5001.0,539067.0,714.0,2640.0,0.1725109998284968,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893826706,1157.0,187.0,2.0,5001.0,539067.0,714.0,1854.5,0.1664525529889891,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3400891996128,1157.0,187.0,5.0,5001.0,539067.0,714.0,64535.0,0.1621724162325312,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892052120,1157.0,187.0,1.0,5001.0,539067.0,714.0,1615.0,0.1662481542441684,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891225037,1157.0,187.0,2.0,5001.0,539067.0,714.0,14615.0,0.1575215406334998,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892065366,1157.0,187.0,2.0,5001.0,539067.0,714.0,5677.0,0.1437629346147689,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893875490,1157.0,187.0,1.5,5001.0,539067.0,714.0,8537.5,0.1701911254075276,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400893022634,1157.0,187.0,2.5,5001.0,539067.0,714.0,5096.0,0.1676715953801405,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892075761,1157.0,187.0,3.0,5001.0,539067.0,714.0,2105.0,0.1674207554209105,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892088310,1157.0,187.0,2.0,5001.0,539067.0,714.0,2683.5,0.1717147728879277,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891191226,1157.0,187.0,1.0,5001.0,539067.0,714.0,2620.0,0.1756485078680543,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892761695,1157.0,187.0,1.0,5001.0,539067.0,714.0,15450.0,0.1726007241693622,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3400892203645,1157.0,187.0,2.0,5001.0,539067.0,714.0,3330.0,0.1748255863867606,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3400892761527,1157.0,187.0,1.0,5001.0,539067.0,714.0,11995.0,0.1692884841368355,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3400892669236,1157.0,187.0,2.0,5001.0,539067.0,714.0,8126.0,0.1696251931216965,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3400891235203,1157.0,187.0,1.0,5001.0,539067.0,714.0,1320.0,0.1702047489464886,75420.0,1236.0,261.0,2017.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
