HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_HAD,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490,CLUSTER
3400893875490,2063.0,521.0,11.0,7129.0,1107398.0,1158.0,13601.0,0.1208872280164515,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
3400892203645,2063.0,521.0,7.0,7129.0,1107398.0,1158.0,5350.0,0.1230509982533925,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
3400892729589,2063.0,521.0,7.0,7129.0,1107398.0,1158.0,5770.0,0.1175098146783024,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
3400891225037,2063.0,521.0,6.0,7129.0,1107398.0,1158.0,6240.0,0.0553383842817218,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400892508566,2063.0,521.0,3.0,7129.0,1107398.0,1158.0,3950.0,0.1104586698328846,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
3400893875490,2063.0,521.0,14.0,7129.0,1107398.0,1158.0,12655.0,0.1166831504595232,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
3400892052120,2063.0,521.0,3.0,7129.0,1107398.0,1158.0,2210.0,0.1162657216017321,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400893736135,2063.0,521.0,5.0,7129.0,1107398.0,1158.0,5770.0,0.1265124116342444,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
3400892761695,2063.0,521.0,12.5,7129.0,1107398.0,1158.0,26680.0,0.1224352570559788,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
3400892697789,2063.0,521.0,3.0,7129.0,1107398.0,1158.0,1940.0,0.0921483267823892,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
3400893022634,2063.0,521.0,1.0,7129.0,1107398.0,1158.0,3408.5,0.1408099437704217,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
3400892065366,2063.0,521.0,7.0,7129.0,1107398.0,1158.0,6190.0,0.1112151438785696,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400892088310,2063.0,521.0,6.0,7129.0,1107398.0,1158.0,5160.0,0.1259068024302695,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
3400890837149,2063.0,521.0,3.0,7129.0,1107398.0,1158.0,2680.0,0.1034032768608275,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400892745848,2063.0,521.0,1.0,7129.0,1107398.0,1158.0,310.0,0.0704486121345675,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
3400892203645,2063.0,521.0,5.0,7129.0,1107398.0,1158.0,3300.0,0.0994758069992379,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
3400892761527,2063.0,521.0,19.0,7129.0,1107398.0,1158.0,29500.0,0.121571142523954,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
3400892075761,2063.0,521.0,5.0,7129.0,1107398.0,1158.0,2670.0,0.1210234238688713,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
