,HOSPI_CODE_UCD,R2,RMSE,MAE,MAPE,CLUSTER
0,CODE_UCD_3400893826706,-6.459327630685025,860.3207449287281,790.3352859418237,8.394753255981524,6
1,CODE_UCD_3400892761527,,199.77955705661293,199.77955705661293,0.14269968361186638,6
2,CODE_UCD_3400892075761,,495.22044294338707,495.22044294338707,0.702440344600549,6
3,CODE_UCD_3400892203645,,1050.220442943387,1050.220442943387,7.00146961962258,6
4,CODE_UCD_3400891191226,0.0,1171.7718219771273,1021.9292303335958,0.4295625180048742,6
5,CODE_UCD_3400892065366,,630.2204429433871,630.2204429433871,1.105649899900679,6
6,CODE_UCD_3400891996128,-2.314457610703429,10277.090497028608,9034.63127537676,0.850117385172178,6
7,CODE_UCD_3400891225037,,509.77955705661293,509.77955705661293,0.298116700033107,6
8,CODE_UCD_3400892052120,-6.56492423135593,1668.046501837617,1304.7787665886026,1.7662440487245155,4
9,CODE_UCD_3400890837149,,149.47111631537905,149.47111631537905,0.07220826875139084,4
10,CODE_UCD_3400891996128,-19.852206969594988,28974.79466625797,28464.11684881603,0.9397676603756642,4
11,CODE_UCD_3400892075761,,970.528883684621,970.528883684621,1.0216093512469695,4
12,CODE_UCD_3400891225037,,6019.471116315379,6019.471116315379,0.7581197879490401,4
13,CODE_UCD_3400893736135,-434.2678212897466,1481.1639158050104,1061.137782982045,1.049997935060232,4
14,CODE_UCD_3400892697789,,980.528883684621,980.528883684621,1.0431158337070436,4
15,CODE_UCD_3400892065366,-23.02701642803771,1732.1008779266608,1524.4261774655217,0.44896424126862194,4
16,CODE_UCD_3400891191226,-247.10978819702524,1023.8475741693348,1022.260655737705,0.47621067768216996,4
17,CODE_UCD_3400892203645,,1040.528883684621,1040.528883684621,1.182419186005251,4
18,CODE_UCD_3400892761527,,579.471116315379,579.471116315379,0.23178844652615163,4
19,CODE_UCD_3400893826706,,1070.528883684621,1070.528883684621,1.2594457455113188,4
20,CODE_UCD_3400891235203,,290.52888368462095,290.52888368462095,0.1782385789476202,4
21,CODE_UCD_3400892203645,-169.03581597123286,2816.5920950598866,2394.634603174603,1.8873073457250045,1
22,CODE_UCD_3400891191226,,61.269629629629435,61.269629629629435,0.022079145812479075,1
