,HOSPI_CODE_UCD,R2,RMSE,MAE,MAPE,CLUSTER
0,CODE_UCD_3400892761527,-8705.752218828262,25193.69438475787,24681.349315068495,0.75808343518099,5
1,CODE_UCD_3400891225037,,1219.1643835616442,1219.1643835616442,0.19537890762205837,5
2,CODE_UCD_3400891191226,,190.83561643835583,190.83561643835583,0.03951047959386249,5
3,CODE_UCD_3400892697789,,3080.835616438356,3080.835616438356,1.5880595961022452,5
4,CODE_UCD_3400891235203,,800.8356164383558,800.8356164383558,0.18977147308965778,5
5,CODE_UCD_3400892075761,,1920.8356164383558,1920.8356164383558,0.6196243923994696,5
6,CODE_UCD_3400892065366,,2329.164383561644,2329.164383561644,0.3168931134097475,5
7,CODE_UCD_3400892761695,,21089.164383561645,21089.164383561645,0.8077044957319665,5
8,CODE_UCD_3400893826706,,2089.164383561644,2089.164383561644,0.2938346531029035,5
9,CODE_UCD_3400892088310,-827.7555237570996,5923.1545129626265,5119.270547945205,1.0100755775684722,5
10,CODE_UCD_3400893875490,,10482.164383561645,10482.164383561645,0.6761378045256818,5
11,CODE_UCD_3400892729589,,1124.1643835616442,1124.1643835616442,0.18293968813045472,5
12,CODE_UCD_3400890837149,-6674.151670790387,7353.144125705829,5235.020547945205,1.8312647891875042,5
13,CODE_UCD_3400891996128,,111609.16438356164,111609.16438356164,0.9569507363762466,5
14,CODE_UCD_3400893826706,,1474.0273972602736,1474.0273972602736,0.20515343037721276,1
15,CODE_UCD_3400893736135,-0.004966280473254869,270.66961751644806,270.0,0.04706845551708566,1
16,CODE_UCD_3400891235203,,1680.9726027397264,1680.9726027397264,0.41711478976171873,1
17,CODE_UCD_3400892761695,,20839.027397260274,20839.027397260274,0.7848974537574491,1
18,CODE_UCD_3400892052120,-1164.4712295489892,5086.71080043058,4113.5,2.1387904869496532,1
19,CODE_UCD_3400892729589,-47.732635473046436,2751.9177953767835,2501.5433789954336,0.4587877466710153,1
20,CODE_UCD_3400891996128,-349.6494226004289,100077.56785408902,99717.4611872146,0.932118578742725,1
21,CODE_UCD_3400892508566,,790.9726027397264,790.9726027397264,0.16076678917474113,1
22,CODE_UCD_3400892088310,-99.33928456211777,4191.285621368655,3514.922945205479,0.6666785665234183,1
23,CODE_UCD_3400892761527,-350.4822714441155,23650.42595738705,23237.0,0.7915185855031501,1
24,CODE_UCD_3400892697789,-1095.3854123615106,4635.639554827964,3281.2808219178078,1.3019610241356816,1
25,CODE_UCD_3400890837149,,1980.9726027397264,1980.9726027397264,0.5310918506004628,1
26,CODE_UCD_3400892745848,-4676.803315613859,5471.557476617485,5470.972602739726,25.77018407534247,1
27,CODE_UCD_3400891235203,-3781.0660071287157,5227.372848908424,4180.254098360656,0.8874277454776599,4
28,CODE_UCD_3400891191226,-98.78620446889873,5194.438341956733,4615.254098360656,0.8829229090930725,4
29,CODE_UCD_3400890837149,-106.85227296258226,6075.339012320194,4958.61475409836,1.5017292367898725,4
30,CODE_UCD_3400892088310,,739.0163934426228,739.0163934426228,0.15396174863387974,4
